make,model,price,fuel,year,kms,power,doors,shift,color,province,model_id,id
ABARTH,124 Spider,27990,Gasolina,2018,4354,170,2,Manual,Rojo,Canarias,1,0
ABARTH,124 Spider,28990,Gasolina,2018,23400,170,2,Automatico,Negro,Castilla y Leon,1,1
ABARTH,500,26990,Gasolina,2021,1,165,3,Manual,Negro,Castilla y Leon,2,2
ABARTH,500,30100,Gasolina,2021,0,165,3,Manual,Negro,Cataluña,2,3
ABARTH,500,28300,Gasolina,2020,5,180,3,Manual,Rojo,Castilla y Leon,2,4
ABARTH,500,25815,Gasolina,2020,10,165,3,Manual,Negro,Aragon,2,5
ABARTH,500,30990,Gasolina,2020,0,180,3,Automatico,Negro,Cataluña,2,6
ABARTH,500,20200,Gasolina,2020,0,145,3,Manual,Gris,Valencia,2,7
ABARTH,500,24500,Gasolina,2020,12000,180,3,Manual,Azul,Islas Baleares,2,8
ABARTH,500,25490,Gasolina,2020,2251,180,3,Manual,Gris,Madrid,2,9
ABARTH,500,25950,Gasolina,2020,3200,180,3,Manual,Blanco,Andalucia,2,10
ABARTH,500,26200,Gasolina,2020,2256,180,3,Manual,Blanco,Andalucia,2,11
ABARTH,500,22800,Gasolina,2020,1,165,3,Automatico,Blanco,Galicia,2,12
ABARTH,500,23900,Gasolina,2020,5,165,3,Manual,Azul,Madrid,2,13
ABARTH,500,30600,Gasolina,2020,1,180,3,Automatico,Negro,Andalucia,2,14
ABARTH,500,28300,Gasolina,2020,5,180,3,Manual,Rojo,Castilla y Leon,2,15
ABARTH,500,23559,Gasolina,2020,1,165,3,Manual,Azul,Andalucia,2,16
ABARTH,500,20990,Gasolina,2020,5,145,3,Manual,Blanco,Castilla y Leon,2,17
ABARTH,500,20300,Gasolina,2020,13000,165,3,Manual,Rojo,Madrid,2,18
ABARTH,500,28300,Gasolina,2020,1,180,3,Manual,Verde,Castilla y Leon,2,19
ABARTH,500,16875,Gasolina,2019,12000,145,3,Manual,Rojo,Cataluña,2,20
ABARTH,500,27500,Gasolina,2019,2023,180,3,Manual,Negro,Aragon,2,21
