origin,destination,distance_km
madrid,valladolid,162.03064318899396
avila,madrid,88.53445368565832
huesca,madrid,362.166873291629
castellon,madrid,310.0078651356576
madrid,madrid,0.0
cadiz,madrid,472.4719464695164
madrid,sevilla,390.5041916016753
madrid,pontevedra,457.99212314003057
madrid,salamanca,176.5424777290737
madrid,zaragoza,274.13763641502413
lleida,madrid,387.7328724067369
baleares,madrid,569.2118425034417
las palmas,madrid,1760.9910065497888
guipuzcoa,madrid,327.6136590375775
girona,madrid,573.8947106749041
cantabria,madrid,306.3162521491929
madrid,navarra,289.66688414
asturias,madrid,371.51518115473993
barcelona,madrid,506.9220157558605
barcelona,valladolid,577.0923586655146
avila,barcelona,583.9171741695029
barcelona,huesca,201.7125653850481
barcelona,castellon,226.82709173331835
barcelona,cadiz,883.0826721458213
barcelona,sevilla,831.5570047319178
barcelona,pontevedra,895.1745228951213
barcelona,salamanca,659.4099701459719
barcelona,zaragoza,257.02508677047655
barcelona,lleida,132.0096276040434
baleares,barcelona,205.38586693311544
barcelona,las palmas,2199.5448569535743
barcelona,guipuzcoa,410.9714737648538
barcelona,girona,85.14562641122278
barcelona,cantabria,553.0903665781169
barcelona,navarra,359.0370211956704
asturias,barcelona,702.194768731762
barcelona,barcelona,0.0
barcelona,orense,812.0779497485869
albacete,barcelona,433.81639028758656
orense,orense,0.0
albacete,orense,597.6463064255552
orense,sevilla,549.610887135657
madrid,orense,376.8074551132209
orense,valencia,675.2170660802606
orense,tenerife,1747.3246710044075
navarra,orense,471.98151991336704
las palmas,orense,1740.3582013695034
burgos,orense,318.85384409716045
murcia,orense,718.0439583513536
orense,zaragoza,555.2589079195457
asturias,orense,180.3221966097617
orense,tarragona,741.6666138439057
caceres,orense,294.9110555933471
alicante,orense,735.9742517470953
orense,vizcaya,400.9036885721618
baleares,orense,922.829198648773
cantabria,orense,302.3625885100413
lleida,orense,680.1813209275091
malaga,orense,664.0031369610555
orense,pontevedra,84.26459035340575
guipuzcoa,orense,449.69314843072056
orense,toledo,393.2705116257701
a coruña,orense,136.734291807016
girona,orense,856.7312359860935
ciudad real,orense,469.2304828440726
orense,salamanca,207.4178900128489
orense,segovia,316.99386332505185
castellon,orense,662.6318849670168
guadalajara,orense,450.1620624529484
almeria,orense,710.7455010519128
lugo,orense,94.17027708912566
orense,valladolid,240.60150580732
badajoz,orense,369.9472319893203
granada,orense,651.592723488078
huelva,orense,550.3973560074697
la rioja,orense,418.5054709374352
cuenca,orense,511.6085678317153
cadiz,orense,644.8152622947782
alava,orense,405.3808623945509
avila,pontevedra,371.8071582174844
avila,tenerife,1751.4575113143687
avila,sevilla,379.710928499289
avila,granada,398.2586094008731
avila,valencia,391.6687882829314
avila,las palmas,1726.6140162419897
asturias,avila,312.5255028664204
avila,cadiz,470.2537623287769
avila,lugo,349.90496205993554
avila,burgos,204.0457029001236
avila,leon,243.8412562257468
avila,zaragoza,339.08156597363933
avila,murcia,426.80825067494754
avila,zamora,154.69414402979965
avila,ciudad real,196.9499080499615
avila,castellon,395.9901030142958
avila,cordoba,307.8073586346829
avila,girona,646.334958893194
avila,baleares,656.3515064911923
a coruña,avila,424.9360542539491
avila,navarra,323.01548693189466
avila,vizcaya,325.1599439423954
avila,cantabria,282.62392448613184
alicante,avila,443.9765764995759
avila,guipuzcoa,345.3345079017306
avila,malaga,437.5135402897656
alava,avila,295.29391804773985
avila,toledo,105.87384931727306
avila,segovia,58.90067795261547
avila,tarragona,504.36686324882805
avila,lleida,459.6707243115071
avila,orense,292.19565075037787
avila,guadalajara,185.68307941048263
avila,caceres,157.82191952748116
avila,la rioja,263.1322561370204
avila,valladolid,110.60531956049286
avila,salamanca,88.24980462857346
avila,jaen,317.42299662428155
albacete,avila,305.4554746972564
avila,cuenca,227.829415958994
avila,badajoz,276.8171421761776
avila,huelva,424.6387393269688
almeria,avila,431.6400482544709
avila,huesca,423.6658849045895
avila,soria,196.47107597336245
avila,avila,0.0
avila,palencia,194.8391996320493
avila,teruel,319.6163937940139
avila,ceuta,531.6957122274562
avila,melilla,615.1475718363379
a coruña,madrid,506.6392373732117
a coruña,murcia,851.7289888670898
a coruña,las palmas,1800.6110834383985
a coruña,barcelona,908.4420589787215
a coruña,valencia,799.1043877804392
a coruña,tenerife,1800.002970673204
a coruña,burgos,411.9739370905934
a coruña,alicante,866.7653160493829
a coruña,vizcaya,465.7023528459078
a coruña,pontevedra,88.05973483061874
a coruña,girona,944.4525381406036
a coruña,tarragona,843.4732101676227
a coruña,lugo,92.42722813215931
a coruña,malaga,797.5608060312637
a coruña,navarra,554.586129511675
a coruña,a coruña,0.0
a coruña,asturias,215.10689949955463
a coruña,badajoz,492.3181101805868
a coruña,sevilla,676.8136222103674
a coruña,ciudad real,605.7777364564712
a coruña,lleida,776.8713977309822
a coruña,baleares,1035.2869504558887
a coruña,caceres,428.70076048495326
a coruña,leon,220.8370311874509
a coruña,zaragoza,655.2369688522654
a coruña,salamanca,342.6098831772885
a coruña,almeria,847.266656785047
lugo,madrid,426.9673872237112
lugo,murcia,761.5652700861789
las palmas,lugo,1827.1448462077867
barcelona,lugo,816.0420497534734
lugo,valencia,713.2602901815961
lugo,tenerife,1831.7505731847195
burgos,lugo,319.798711316154
alicante,lugo,786.1740483552409
lugo,vizcaya,375.2495337652828
lugo,pontevedra,115.95812111922092
girona,lugo,852.2132505513665
lugo,tarragona,751.3928727276412
lugo,lugo,0.0
lugo,malaga,747.8891264926502
lugo,navarra,462.3775075052367
asturias,lugo,126.85334036335573
badajoz,lugo,462.6063531936842
lugo,sevilla,639.6579165609587
ciudad real,lugo,539.1264186997118
lleida,lugo,684.5115391096647
baleares,lugo,944.6907683770556
caceres,lugo,380.6381913512569
leon,lugo,129.5066081005849
lugo,zaragoza,563.1568923797768
lugo,salamanca,274.11329305449874
almeria,lugo,779.2293889815503
madrid,murcia,349.01265206203044
madrid,tenerife,1790.6107312867482
madrid,malaga,414.9576716395722
alicante,madrid,360.12761659874974
madrid,vizcaya,321.3010776594385
almeria,madrid,370.3011868605722
madrid,valencia,303.15461710340566
