make;model;price;fuel;year;kms;power;doors;shift;color;province
ABARTH;124 Spider;27990;Gasolina;2018;4354;170;2;Manual;Rojo;Las Palmas
ABARTH;124 Spider;28990;Gasolina;2018;23400;170;2;Automatico;Negro;Avila
ABARTH;500;26990;Gasolina;2021;1;165;3;Manual;Negro;Valladolid
ABARTH;500;30100;Gasolina;2021;0;165;3;Manual;Negro;Lleida
ABARTH;500;28300;Gasolina;2020;5;180;3;Manual;Rojo;Avila
ABARTH;500;25815;Gasolina;2020;10;165;3;Manual;Negro;Huesca
ABARTH;500;30990;Gasolina;2020;0;180;3;Automatico;Negro;Barcelona
ABARTH;500;20200;Gasolina;2020;0;145;3;Manual;Gris;Castellon
ABARTH;500;24500;Gasolina;2020;12000;180;3;Manual;Azul;Baleares
ABARTH;500;25490;Gasolina;2020;2251;180;3;Manual;Gris;Madrid
ABARTH;500;25950;Gasolina;2020;3200;180;3;Manual;Blanco;Cadiz
ABARTH;500;26200;Gasolina;2020;2256;180;3;Manual;Blanco;Sevilla
ABARTH;500;22800;Gasolina;2020;1;165;3;Automatico;Blanco;Pontevedra
ABARTH;500;23900;Gasolina;2020;5;165;3;Manual;Azul;Madrid
ABARTH;500;30600;Gasolina;2020;1;180;3;Automatico;Negro;Sevilla
ABARTH;500;28300;Gasolina;2020;5;180;3;Manual;Rojo;Salamanca
ABARTH;500;23559;Gasolina;2020;1;165;3;Manual;Azul;Sevilla
ABARTH;500;20990;Gasolina;2020;5;145;3;Manual;Blanco;Salamanca
ABARTH;500;20300;Gasolina;2020;13000;165;3;Manual;Rojo;Madrid
ABARTH;500;28300;Gasolina;2020;1;180;3;Manual;Verde;Salamanca
ABARTH;500;16875;Gasolina;2019;12000;145;3;Manual;Rojo;Barcelona
ABARTH;500;27500;Gasolina;2019;2023;180;3;Manual;Negro;Zaragoza
ABARTH;500;17790;Gasolina;2019;15489;145;3;Manual;Gris;Sevilla
ABARTH;500;18995;Gasolina;2019;22000;160;3;Manual;Blanco;Barcelona
ABARTH;500;24600;Gasolina;2019;9900;180;3;Manual;Verde;Madrid
ABARTH;500;18490;Gasolina;2019;4700;145;3;Manual;Blanco;Zaragoza
